City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,opunake,92,NZ,1543352878,99,-39.45,173.86,60.34,15.82
121,barrow,92,AR,1543352879,69,-38.31,-60.23,69.48,9.22
122,vaini,0,IN,1543352879,65,15.34,74.49,66.06,4.85
123,juigalpa,20,NI,1543348800,55,12.1,-85.37,89.6,4.7
124,xixiang,40,CN,1543350600,93,22.58,113.87,66.2,2.24
125,port lincoln,80,AU,1543352880,97,-34.72,135.86,58.05,7.99
126,hovd,0,NO,1543351800,92,63.83,10.7,30.2,5.82
127,campoverde,40,IT,1543351800,66,41.54,12.73,55.4,10.29
128,bahia blanca,92,AR,1543352881,73,-38.72,-62.27,71.19,2.73
129,vestmannaeyjar,36,IS,1543352881,99,63.44,-20.27,39.24,18.95
130,coahuayana,80,MX,1543352881,42,18.62,-100.35,82.08,3.06
131,college,1,US,1543348680,89,64.86,-147.8,5.36,2.62
132,saskylakh,56,RU,1543352882,64,71.97,114.09,-21.83,3.18
133,vardo,90,US,1543352100,56,39.62,-77.74,39.2,16.11
134,robertsport,24,LR,1543352883,100,6.75,-11.37,82.84,9.89
135,port hedland,12,AU,1543350600,94,-20.31,118.58,71.6,6.93
136,onguday,44,RU,1543352883,66,50.75,86.14,-0.59,1.95
137,lumphat,48,KH,1543352959,98,13.5,106.97,71.01,2.17
138,port blair,32,IN,1543352884,95,11.67,92.75,85.41,13.02
139,thompson,75,CA,1543348800,65,55.74,-97.86,5.0,4.7
140,east london,92,ZA,1543352832,100,-33.02,27.91,64.84,30.58
141,mukhen,68,RU,1543352887,63,48.19,136.14,15.16,7.65
142,petropavlovsk-kamchatskiy,56,RU,1543350600,66,53.05,158.65,10.4,6.71
143,itinga,68,BR,1543352887,70,-16.61,-41.77,73.98,11.56
144,los lunas,1,US,1543351680,17,34.81,-106.76,51.8,5.82
145,lagoa,0,PT,1543350600,87,37.14,-8.45,51.8,5.82
146,porto novo,20,BR,1543348800,69,-23.68,-45.44,73.4,8.05
147,oktyabrskiy,40,RU,1543350600,92,55.61,37.97,24.8,2.24
148,mbanza-ngungu,0,CD,1543352890,93,-5.25,14.87,69.75,3.18
149,beian,20,NO,1543351800,86,63.66,9.57,30.2,12.75
150,seredka,80,RU,1543352890,100,58.06,38.14,24.75,3.4
151,hilo,1,US,1543348380,62,19.71,-155.08,78.98,5.82
152,kodiak,1,US,1543352100,29,39.95,-94.76,23.0,5.82
153,mabaruma,80,GY,1543352891,87,8.2,-59.78,80.41,6.31
154,trapani,75,IT,1543351800,72,38.02,12.54,59.0,17.22
155,namwala,88,ZM,1543352891,99,-15.75,26.45,64.44,5.08
156,katsuura,88,JP,1543352892,99,33.93,134.5,54.0,2.62
157,smidovich,8,RU,1543352892,59,48.6,133.81,11.02,7.65
158,kaseda,68,JP,1543352598,100,31.42,130.32,64.35,9.66
159,rognan,75,NO,1543351800,80,67.1,15.4,39.2,24.16
160,ponta do sol,36,BR,1543352893,53,-20.63,-46.0,77.4,6.2
161,kaitangata,76,NZ,1543352893,88,-46.28,169.85,56.02,18.72
162,omsukchan,32,RU,1543352893,76,62.53,155.8,-39.29,2.62
163,ballina,80,IE,1543352894,100,54.11,-9.15,42.93,14.58
164,codrington,12,AU,1543348800,83,-28.95,153.24,75.2,6.93
165,smoky lake,68,CA,1543352895,95,54.11,-112.47,24.03,5.3
166,sur,0,OM,1543352895,100,22.57,59.53,74.92,10.33
167,tiksi,32,RU,1543352895,65,71.64,128.87,-22.15,6.64
168,cairo,0,EG,1543350600,63,30.05,31.24,66.2,4.7
169,vila franca do campo,75,PT,1543350600,93,37.72,-25.43,66.2,21.92
170,biak,48,ID,1543352898,99,-0.91,122.88,79.06,1.72
171,nanortalik,32,GL,1543352898,84,60.14,-45.24,29.97,4.74
172,nakamura,20,JP,1543348800,76,35.17,136.87,53.6,10.29
173,ayan,76,TR,1543352898,89,40.67,33.6,43.96,4.63
174,waikuku,92,NZ,1543352400,93,-43.29,172.68,55.4,5.82
175,beni suef,0,EG,1543352899,77,29.07,31.1,51.84,2.39
176,imeni poliny osipenko,76,RU,1543352900,74,52.42,136.49,21.19,15.37
177,srednekolymsk,56,RU,1543352900,80,67.46,153.71,-18.28,2.95
178,tukums,75,LV,1543350000,100,56.97,23.17,23.0,3.36
179,panaba,76,MX,1543352901,85,21.28,-88.27,74.29,10.22
180,kaiyuan,0,CN,1543352901,45,42.54,124.04,11.07,5.64
181,talnakh,44,RU,1543352901,65,69.49,88.39,-14.54,3.29
182,laguna,5,MX,1543351380,28,27.52,-110.01,84.2,6.93
183,meulaboh,8,ID,1543352902,100,4.14,96.13,78.03,4.41
184,fort-shevchenko,36,KZ,1543352902,100,44.51,50.26,45.94,20.85
185,sungaipenuh,92,ID,1543352903,98,-2.08,101.38,67.81,0.6
186,anloga,20,GH,1543348800,74,5.79,0.9,82.4,3.36
187,san quintin,0,PH,1543352903,84,17.54,120.52,65.74,2.62
188,whitecourt,90,CA,1543348800,100,54.14,-115.68,19.4,6.93
189,russell,44,AR,1543352904,91,-33.01,-68.8,62.73,2.39
190,ferme-neuve,92,CA,1543352905,83,46.7,-75.45,33.07,5.41
191,roebourne,48,AU,1543352905,38,-20.77,117.15,71.14,8.77
192,mangochi,12,MW,1543352905,87,-14.48,35.26,69.48,2.39
193,narsaq,0,GL,1543352905,56,60.91,-46.05,1.71,4.41
194,khapa,12,IN,1543350600,67,21.42,78.98,62.6,2.62
195,arraial do cabo,20,BR,1543348800,73,-22.97,-42.02,75.2,9.17
196,esperance,20,TT,1543348800,74,10.24,-61.45,84.2,13.87
197,praya,40,ID,1543350600,100,-8.71,116.27,75.2,4.7
198,castro,0,CL,1543348800,63,-42.48,-73.76,62.6,9.17
199,angoche,0,MZ,1543352984,99,-16.23,39.91,81.9,14.81
200,nueva imperial,0,CL,1543348800,63,-38.75,-72.95,66.2,11.41
201,hobyo,92,SO,1543352909,92,5.35,48.53,78.84,10.22
202,am timan,0,TD,1543352909,41,11.04,20.28,67.09,4.18
203,ampanihy,12,MG,1543352910,79,-24.69,44.75,71.41,5.64
204,show low,1,US,1543350900,10,34.25,-110.03,59.0,8.05
205,tura,0,IN,1543352911,85,25.52,90.21,56.34,2.39
206,tsevie,20,TG,1543348800,74,6.43,1.21,82.4,3.36
